Gene_id	{KEGG}	{SwissProt}	{IPR}	{GO}
Belnapia_sp.F-4-1GL000014	{K03379  E1.14.13.22  cyclohexanone monooxygenase  1.14.13.22  Metabolism; Xenobiotics Biodegradation and Metabolism; Caprolactam degradation [PATH:ko00930]}	{PAMO_THEFY Phenylacetone monooxygenase OS=Thermobifida fusca (strain YX) GN=pamO PE=1 SV=1}	{NA}	{NA}
Belnapia_sp.F-4-1GL000015	{K02020  modA  molybdate transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000016	{NA}	{NA}	{IPR005471; Transcription regulator IclR, N-terminal  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding  IPR014757; Transcription regulator IclR, C-terminal}	{GO:0003677; DNA binding; Molecular Function  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL000017	{K05712  mhpA  3-(3-hydroxy-phenyl)propionate hydroxylase  1.14.13.-  Metabolism; Amino Acid Metabolism; Phenylalanine metabolism [PATH:ko00360]}	{NA}	{IPR002938; Monooxygenase, FAD-binding  IPR003042; Aromatic-ring hydroxylase-like}	{GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function}
Belnapia_sp.F-4-1GL000018	{NA}	{NA}	{IPR021233; Protein of unknown function DUF2783}	{NA}
Belnapia_sp.F-4-1GL000019	{K01467  E3.5.2.6, ampC, penP  beta-lactamase  3.5.2.6  Metabolism; Biosynthesis of Other Secondary Metabolites; Penicillin and cephalosporin biosynthesis [PATH:ko00311] Metabolism; Biosynthesis of Other Secondary Metabolites; beta-Lactam resistance [PATH:ko00312] Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020]}	{NA}	{IPR001279; Beta-lactamase-like}	{GO:0016787; hydrolase activity; Molecular Function}
Belnapia_sp.F-4-1GL000020	{K00451  E1.13.11.5, hmgA  homogentisate 1,2-dioxygenase  1.13.11.5  Metabolism; Amino Acid Metabolism; Tyrosine metabolism [PATH:ko00350] Metabolism; Xenobiotics Biodegradation and Metabolism; Styrene degradation [PATH:ko00643]}	{HGD_RHOPA Homogentisate 1,2-dioxygenase OS=Rhodopseudomonas palustris (strain ATCC BAA-98 / CGA009) GN=hmgA PE=3 SV=1}	{IPR005708; Homogentisate 1,2-dioxygenase  IPR011051; Cupin, RmlC-type  IPR022950; Homogentisate 1,2-dioxygenase, bacterial}	{GO:0004411; homogentisate 1,2-dioxygenase activity; Molecular Function  GO:0006559; L-phenylalanine catabolic process; Biological Process  GO:0006570; tyrosine metabolic process; Biological Process  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000021	{K01555  E3.7.1.2, FAH  fumarylacetoacetase  3.7.1.2  Metabolism; Amino Acid Metabolism; Tyrosine metabolism [PATH:ko00350] Metabolism; Xenobiotics Biodegradation and Metabolism; Styrene degradation [PATH:ko00643]}	{FAAA_DICDI Fumarylacetoacetase OS=Dictyostelium discoideum GN=fah PE=3 SV=1}	{IPR002529; Fumarylacetoacetase, C-terminal  IPR005959; Fumarylacetoacetase  IPR011234; Fumarylacetoacetase, C-terminal-related  IPR015377; Fumarylacetoacetase, N-terminal}	{GO:0003824; catalytic activity; Molecular Function  GO:0004334; fumarylacetoacetase activity; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0009072; aromatic amino acid family metabolic process; Biological Process}
Belnapia_sp.F-4-1GL000022	{NA}	{NA}	{IPR005064; Bordetella uptake gene}	{GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL000023	{K00014  aroE  shikimate dehydrogenase  1.1.1.25  Metabolism; Amino Acid Metabolism; Phenylalanine, tyrosine and tryptophan biosynthesis [PATH:ko00400]}	{AROE_STRAW Shikimate dehydrogenase OS=Streptomyces avermitilis GN=aroE PE=3 SV=1}	{IPR013708; Shikimate dehydrogenase substrate binding, N-terminal  IPR016040; NAD(P)-binding domain  IPR022893; Shikimate, quinate/shikimate dehydrogenase}	{GO:0000166; nucleotide binding; Molecular Function  GO:0004764; shikimate 3-dehydrogenase (NADP+) activity; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000024	{K00059  fabG  3-oxoacyl-[acyl-carrier protein] reductase  1.1.1.100  Metabolism; Lipid Metabolism; Fatty acid biosynthesis [PATH:ko00061] Metabolism; Lipid Metabolism; Biosynthesis of unsaturated fatty acids [PATH:ko01040] Metabolism; Lipid Metabolism; Lipid biosynthesis proteins [BR:ko01004]}	{NA}	{IPR002198; Short-chain dehydrogenase/reductase SDR  IPR002347; Glucose/ribitol dehydrogenase  IPR016040; NAD(P)-binding domain}	{GO:0000166; nucleotide binding; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016491; oxidoreductase activity; Molecular Function}
Belnapia_sp.F-4-1GL000025	{K15034  yaeJ  ribosome-associated protein  --  Genetic Information Processing; Translation; Translation factors [BR:ko03012]}	{ARFB_PSEPU Peptidyl-tRNA hydrolase OS=Pseudomonas putida PE=3 SV=1}	{IPR000352; Peptide chain release factor class I/class II}	{GO:0003747; translation release factor activity; Molecular Function  GO:0006415; translational termination; Biological Process}
Belnapia_sp.F-4-1GL000026	{K03736  eutC  ethanolamine ammonia-lyase small subunit  4.3.1.7  Metabolism; Lipid Metabolism; Glycerophospholipid metabolism [PATH:ko00564]}	{EUTC_PSESM Ethanolamine ammonia-lyase light chain OS=Pseudomonas syringae pv. tomato (strain DC3000) GN=eutC PE=3 SV=1}	{IPR009246; Ethanolamine ammonia-lyase light chain}	{GO:0006520; cellular amino acid metabolic process; Biological Process  GO:0008851; ethanolamine ammonia-lyase activity; Molecular Function}
Belnapia_sp.F-4-1GL000027	{NA}	{NA}	{IPR012001; Thiamine pyrophosphate enzyme, N-terminal TPP-binding domain}	{GO:0030976; thiamine pyrophosphate binding; Molecular Function}
Belnapia_sp.F-4-1GL000028	{K03735  eutB  ethanolamine ammonia-lyase large subunit  4.3.1.7  Metabolism; Lipid Metabolism; Glycerophospholipid metabolism [PATH:ko00564]}	{EUTB_SALTY Ethanolamine ammonia-lyase heavy chain OS=Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720) GN=eutB PE=4 SV=2}	{IPR010628; Ethanolamine ammonia lyase large subunit  IPR013785; Aldolase-type TIM barrel}	{GO:0003824; catalytic activity; Molecular Function  GO:0006520; cellular amino acid metabolic process; Biological Process  GO:0008851; ethanolamine ammonia-lyase activity; Molecular Function}
Belnapia_sp.F-4-1GL000029	{K01618  E4.1.1.-  --  --  Unclassified; Metabolism; Others}	{NA}	{IPR011766; Thiamine pyrophosphate enzyme, C-terminal TPP-binding}	{GO:0003824; catalytic activity; Molecular Function  GO:0030976; thiamine pyrophosphate binding; Molecular Function}
Belnapia_sp.F-4-1GL000030	{K00058  serA, PHGDH  D-3-phosphoglycerate dehydrogenase  1.1.1.95  Metabolism; Energy Metabolism; Methane metabolism [PATH:ko00680] Metabolism; Amino Acid Metabolism; Glycine, serine and threonine metabolism [PATH:ko00260]}	{SERA_METJA D-3-phosphoglycerate dehydrogenase OS=Methanocaldococcus jannaschii (strain ATCC 43067 / DSM 2661 / JAL-1 / JCM 10045 / NBRC 100440) GN=serA PE=3 SV=1}	{IPR006139; D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain  IPR006140; D-isomer specific 2-hydroxyacid dehydrogenase, NAD-binding  IPR016040; NAD(P)-binding domain}	{GO:0000166; nucleotide binding; Molecular Function  GO:0008152; metabolic process; Biological Process  GO:0016616; oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor; Molecular Function  GO:0048037; cofactor binding; Molecular Function  GO:0051287; NAD binding; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000031	{NA}	{NA}	{IPR005656; MmgE/PrpD}	{GO:0019543; propionate catabolic process; Biological Process  GO:0047547; 2-methylcitrate dehydratase activity; Molecular Function}
Belnapia_sp.F-4-1GL000032	{K11690  dctM  C4-dicarboxylate transporter, DctM subunit  --  Environmental Information Processing; Signal Transduction; Two-component system [PATH:ko02020]}	{Y4ML_RHISN Uncharacterized protein y4mL OS=Rhizobium sp. (strain NGR234) GN=NGR_a02470 PE=3 SV=1}	{IPR004681; TRAP dicarboxylate transporter, DctM subunit  IPR010656; TRAP C4-dicarboxylate transport system permease DctM subunit}	{GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL000033	{NA}	{NA}	{IPR007387; Tripartite ATP-independent periplasmic transporter, DctQ component}	{NA}
Belnapia_sp.F-4-1GL000034	{NA}	{NA}	{IPR004682; TRAP dicarboxylate transporter, DctP subunit  IPR018389; Extracellular solute-binding protein, family 7, bacteria}	{GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL000035	{NA}	{NA}	{IPR000524; Transcription regulator HTH, GntR  IPR011711; GntR, C-terminal  IPR011991; Winged helix-turn-helix transcription repressor DNA-binding}	{GO:0003700; sequence-specific DNA binding transcription factor activity; Molecular Function  GO:0005622; intracellular; Cellular Component  GO:0006355; regulation of transcription, DNA-dependent; Biological Process}
Belnapia_sp.F-4-1GL000036	{K01687  ilvD  dihydroxy-acid dehydratase  4.2.1.9  Metabolism; Amino Acid Metabolism; Valine, leucine and isoleucine biosynthesis [PATH:ko00290] Metabolism; Metabolism of Cofactors and Vitamins; Pantothenate and CoA biosynthesis [PATH:ko00770]}	{NA}	{IPR000581; Dihydroxy-acid/6-phosphogluconate dehydratase  IPR015928; Aconitase/3-isopropylmalate dehydratase, swivel  IPR020558; Dihydroxy-acid/6-phosphogluconate dehydratase, conserved site}	{GO:0003824; catalytic activity; Molecular Function  GO:0008152; metabolic process; Biological Process}
Belnapia_sp.F-4-1GL000037	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000038	{K02433  gatA  aspartyl-tRNA(Asn)/glutamyl-tRNA (Gln) amidotransferase subunit A  6.3.5.6 6.3.5.7  Genetic Information Processing; Translation; Aminoacyl-tRNA biosynthesis [PATH:ko00970]}	{NA}	{IPR000120; Amidase  IPR023631; Amidase signature domain}	{GO:0016884; carbon-nitrogen ligase activity, with glutamine as amido-N-donor; Molecular Function}
Belnapia_sp.F-4-1GL000039	{NA}	{NA}	{IPR011251; Luciferase-like domain}	{GO:0016705; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen; Molecular Function  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000040	{NA}	{NA}	{IPR004776; Auxin efflux carrier}	{GO:0016021; integral to membrane; Cellular Component  GO:0055085; transmembrane transport; Biological Process}
Belnapia_sp.F-4-1GL000041	{K09969  aapJ, bztA  general L-amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{AAPJ_RHIL3 General L-amino acid-binding periplasmic protein AapJ OS=Rhizobium leguminosarum bv. viciae (strain 3841) GN=aapJ PE=3 SV=1}	{IPR001638; Extracellular solute-binding protein, family 3}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL000042	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000043	{K01999  livK  branched-chain amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR006311; Twin-arginine translocation pathway, signal sequence}	{NA}
Belnapia_sp.F-4-1GL000044	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000045	{K00868  pdxK, pdxY  pyridoxine kinase  2.7.1.35  Metabolism; Metabolism of Cofactors and Vitamins; Vitamin B6 metabolism [PATH:ko00750]}	{PDXY_GRABC Pyridoxamine kinase OS=Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1) GN=pdxY PE=3 SV=2}	{IPR004625; Pyridoxal phosphate (active vitamin B6) biosynthesis, pyridoxal kinase  IPR013749; Phosphomethylpyrimidine kinase type-1}	{GO:0008478; pyridoxal kinase activity; Molecular Function  GO:0009443; pyridoxal 5'-phosphate salvage; Biological Process}
Belnapia_sp.F-4-1GL000046	{K02035  ABC.PE.S  peptide/nickel transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR000914; Bacterial extracellular solute-binding protein, family 5}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process}
Belnapia_sp.F-4-1GL000047	{K01999  livK  branched-chain amino acid transport system substrate-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR000709; Leu/Ile/Val-binding protein  IPR006311; Twin-arginine translocation pathway, signal sequence}	{GO:0006865; amino acid transport; Biological Process  GO:0030288; outer membrane-bounded periplasmic space; Cellular Component}
Belnapia_sp.F-4-1GL000048	{K01997  livH  branched-chain amino acid transport system permease protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR001851; ABC transporter, permease}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL000049	{NA}	{NA}	{IPR001851; ABC transporter, permease}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL000050	{K01995  livG  branched-chain amino acid transport system ATP-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR003439; ABC transporter-like  IPR003593; AAA+ ATPase domain}	{GO:0000166; nucleotide binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0016887; ATPase activity; Molecular Function  GO:0017111; nucleoside-triphosphatase activity; Molecular Function}
Belnapia_sp.F-4-1GL000051	{K01996  livF  branched-chain amino acid transport system ATP-binding protein  --  Environmental Information Processing; Membrane Transport; Transporters [BR:ko02000] Environmental Information Processing; Membrane Transport; ABC transporters [PATH:ko02010]}	{NA}	{IPR003439; ABC transporter-like  IPR003593; AAA+ ATPase domain}	{GO:0000166; nucleotide binding; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0016887; ATPase activity; Molecular Function  GO:0017111; nucleoside-triphosphatase activity; Molecular Function}
Belnapia_sp.F-4-1GL000052	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000053	{K02909  RP-L31, rpmE  large subunit ribosomal protein L31  --  Genetic Information Processing; Translation; Ribosome [PATH:ko03010] Genetic Information Processing; Translation; Ribosome [BR:ko03011]}	{RL31_ACICJ 50S ribosomal protein L31 OS=Acidiphilium cryptum (strain JF-5) GN=rpmE PE=3 SV=1}	{IPR002150; Ribosomal protein L31}	{GO:0003735; structural constituent of ribosome; Molecular Function  GO:0005622; intracellular; Cellular Component  GO:0005840; ribosome; Cellular Component  GO:0006412; translation; Biological Process}
Belnapia_sp.F-4-1GL000054	{K04080  ibpA  molecular chaperone IbpA  --  Genetic Information Processing; Folding, Sorting and Degradation; Chaperones and folding catalysts [BR:ko03110]}	{IBPA_PECCP Small heat shock protein IbpA OS=Pectobacterium carotovorum subsp. carotovorum (strain PC1) GN=ibpA PE=3 SV=1}	{IPR002068; Heat shock protein Hsp20  IPR008978; HSP20-like chaperone}	{NA}
Belnapia_sp.F-4-1GL000055	{NA}	{NA}	{IPR009579; Protein of unknown function DUF1192}	{NA}
Belnapia_sp.F-4-1GL000056	{K09987  K09987  hypothetical protein  --  Unclassified; Poorly Characterized; Function unknown}	{NA}	{IPR010421; Protein of unknown function DUF1013}	{NA}
Belnapia_sp.F-4-1GL000057	{NA}	{NA}	{IPR007420; Protein of unknown function DUF465}	{NA}
Belnapia_sp.F-4-1GL000058	{NA}	{NA}	{IPR007420; Protein of unknown function DUF465}	{NA}
Belnapia_sp.F-4-1GL000059	{K01588  purE  5-(carboxyamino)imidazole ribonucleotide mutase  5.4.99.18  Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230]}	{PURE_BACSU N5-carboxyaminoimidazole ribonucleotide mutase OS=Bacillus subtilis (strain 168) GN=purE PE=3 SV=1}	{IPR000031; N5-carboxyaminoimidazole ribonucleotide mutase PurE domain}	{GO:0006189; 'de novo' IMP biosynthetic process; Biological Process  GO:0034023; 5-(carboxyamino)imidazole ribonucleotide mutase activity; Molecular Function}
Belnapia_sp.F-4-1GL000060	{K01589  purK  5-(carboxyamino)imidazole ribonucleotide synthase  6.3.4.18  Metabolism; Nucleotide Metabolism; Purine metabolism [PATH:ko00230]}	{PURK_BRUME N5-carboxyaminoimidazole ribonucleotide synthase OS=Brucella melitensis biotype 1 (strain 16M / ATCC 23456 / NCTC 10094) GN=purK PE=3 SV=2}	{IPR003135; ATP-grasp fold, ATP-dependent carboxylate-amine ligase-type  IPR005875; Phosphoribosylaminoimidazole carboxylase, ATPase subunit  IPR011054; Rudiment single hybrid motif  IPR011761; ATP-grasp fold  IPR013815; ATP-grasp fold, subdomain 1  IPR013816; ATP-grasp fold, subdomain 2  IPR016185; Pre-ATP-grasp fold}	{GO:0003824; catalytic activity; Molecular Function  GO:0004638; phosphoribosylaminoimidazole carboxylase activity; Molecular Function  GO:0005524; ATP binding; Molecular Function  GO:0006189; 'de novo' IMP biosynthetic process; Biological Process  GO:0016874; ligase activity; Molecular Function  GO:0046872; metal ion binding; Molecular Function}
Belnapia_sp.F-4-1GL000061	{NA}	{OMPC_GLUDA Outer membrane protein OS=Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / PAl5) GN=GDI2185 PE=1 SV=2}	{IPR006664; Outer membrane protein, bacterial  IPR006665; Outer membrane protein, OmpA/MotB, C-terminal  IPR011250; Outer membrane protein, beta-barrel}	{GO:0009279; cell outer membrane; Cellular Component  GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL000062	{NA}	{OMPC_GLUDA Outer membrane protein OS=Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / PAl5) GN=GDI2185 PE=1 SV=2}	{IPR006664; Outer membrane protein, bacterial  IPR006665; Outer membrane protein, OmpA/MotB, C-terminal  IPR011250; Outer membrane protein, beta-barrel}	{GO:0009279; cell outer membrane; Cellular Component  GO:0016021; integral to membrane; Cellular Component}
Belnapia_sp.F-4-1GL000063	{K03574  MUTT, NUDT1, MTH1  7,8-dihydro-8-oxoguanine triphosphatase  3.6.1.-  Genetic Information Processing; Replication and Repair; DNA repair and recombination proteins [BR:ko03400]}	{NA}	{IPR000086; NUDIX hydrolase domain  IPR000182; GNAT domain  IPR015797; NUDIX hydrolase domain-like  IPR016181; Acyl-CoA N-acyltransferase  IPR020084; NUDIX hydrolase, conserved site  IPR020476; NUDIX hydrolase}	{GO:0008080; N-acetyltransferase activity; Molecular Function  GO:0016787; hydrolase activity; Molecular Function}
Belnapia_sp.F-4-1GL000064	{K02221  yggT  YggT family protein  --  Environmental Information Processing; Membrane Transport; Secretion system [BR:ko02044]}	{YR5A_AGRT5 Uncharacterized protein Atu2659.1 OS=Agrobacterium tumefaciens (strain C58 / ATCC 33970) GN=Atu2659.1 PE=3 SV=1}	{IPR003425; Uncharacterised protein family Ycf19}	{GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL000065	{K09131  K09131  hypothetical protein  --  Unclassified; Poorly Characterized; Function unknown}	{Y277_GRABC UPF0235 protein GbCGDNIH1_0277 OS=Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1) GN=GbCGDNIH1_0277 PE=3 SV=1}	{IPR003746; Protein of unknown function DUF167}	{NA}
Belnapia_sp.F-4-1GL000066	{K01491  folD  methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase  1.5.1.5 3.5.4.9  Metabolism; Energy Metabolism; Carbon fixation pathways in prokaryotes [PATH:ko00720] Metabolism; Metabolism of Cofactors and Vitamins; One carbon pool by folate [PATH:ko00670]}	{FOLD_ACICJ Bifunctional protein FolD OS=Acidiphilium cryptum (strain JF-5) GN=folD PE=3 SV=1}	{IPR000672; Tetrahydrofolate dehydrogenase/cyclohydrolase  IPR016040; NAD(P)-binding domain  IPR020630; Tetrahydrofolate dehydrogenase/cyclohydrolase, catalytic domain  IPR020631; Tetrahydrofolate dehydrogenase/cyclohydrolase, NAD(P)-binding domain  IPR020867; Tetrahydrofolate dehydrogenase/cyclohydrolase, conserved site}	{GO:0000166; nucleotide binding; Molecular Function  GO:0003824; catalytic activity; Molecular Function  GO:0004488; methylenetetrahydrofolate dehydrogenase (NADP+) activity; Molecular Function  GO:0009396; folic acid-containing compound biosynthetic process; Biological Process  GO:0055114; oxidation-reduction process; Biological Process}
Belnapia_sp.F-4-1GL000067	{NA}	{NA}	{IPR000620; Drug/metabolite transporter}	{GO:0016020; membrane; Cellular Component}
Belnapia_sp.F-4-1GL000068	{K02888  RP-L21, rplU  large subunit ribosomal protein L21  --  Genetic Information Processing; Translation; Ribosome [PATH:ko03010] Genetic Information Processing; Translation; Ribosome [BR:ko03011]}	{RL21_GRABC 50S ribosomal protein L21 OS=Granulibacter bethesdensis (strain ATCC BAA-1260 / CGDNIH1) GN=rplU PE=3 SV=2}	{IPR001787; Ribosomal protein L21}	{GO:0003723; RNA binding; Molecular Function  GO:0003735; structural constituent of ribosome; Molecular Function  GO:0005622; intracellular; Cellular Component  GO:0005840; ribosome; Cellular Component  GO:0006412; translation; Biological Process}
Belnapia_sp.F-4-1GL000069	{K02899  RP-L27, rpmA  large subunit ribosomal protein L27  --  Genetic Information Processing; Translation; Ribosome [PATH:ko03010] Genetic Information Processing; Translation; Ribosome [BR:ko03011]}	{RL27_GLUDA 50S ribosomal protein L27 OS=Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / PAl5) GN=rpmA PE=3 SV=1}	{IPR001684; Ribosomal protein L27}	{GO:0003735; structural constituent of ribosome; Molecular Function  GO:0005622; intracellular; Cellular Component  GO:0005840; ribosome; Cellular Component  GO:0006412; translation; Biological Process}
Belnapia_sp.F-4-1GL000070	{K03979  obg  GTP-binding protein  --  Genetic Information Processing; Translation; Ribosome Biogenesis [BR:ko03009]}	{OBG_GLUDA GTPase obg OS=Gluconacetobacter diazotrophicus (strain ATCC 49037 / DSM 5601 / PAl5) GN=obg PE=3 SV=2}	{IPR006073; GTP binding domain  IPR006074; GTP1/OBG, conserved site  IPR006169; GTP1/OBG domain  IPR014100; GTP-binding protein Obg/CgtA}	{GO:0000287; magnesium ion binding; Molecular Function  GO:0003924; GTPase activity; Molecular Function  GO:0005525; GTP binding; Molecular Function}
Belnapia_sp.F-4-1GL000071	{NA}	{NA}	{NA}	{NA}
Belnapia_sp.F-4-1GL000072	{NA}	{NA}	{IPR005829; Sugar transporter, conserved site  IPR011701; Major facilitator superfamily  IPR016196; Major facilitator superfamily domain, general substrate transporter  IPR020846; Major facilitator superfamily domain}	{GO:0005215; transporter activity; Molecular Function  GO:0006810; transport; Biological Process  GO:0016020; membrane; Cellular Component  GO:0016021; integral to membrane; Cellular Component  GO:0055085; transmembrane transport; Biological Process}
